metric,value
best_val_bits_per_base,1.7886479624691192
compression.aggregate.source_count,9
compression.aggregate.total_arithmetic_bits_per_base,1.8474229186736313
compression.aggregate.total_arithmetic_coded_bytes,207833
compression.aggregate.total_sample_bases,899991
compression.aggregate.total_sample_bytes,900000
compression.aggregate.total_theoretical_bits,1662011.2539565812
compression.aggregate.total_theoretical_bits_per_base,1.8466976380392484
compression_compare.best_val_bpb,1.7886479624691192
compression_compare.checkpoint_step,62500
compression_compare.overlap_stride_patches,1
compression_compare.overlap_stride_tokens,4
config.data.compression_sample_bytes,100000
config.data.dataset_dir,datasets/DNACorpus
config.data.max_test_bytes_per_species,
config.data.max_train_bytes_per_species,
config.data.max_val_bytes_per_species,
config.data.test_ratio,0.2
config.data.token_merge_alphabet,ACGTN
config.data.token_merge_size,3
config.data.train_ratio,0.6
config.data.train_samples_per_epoch,1000000
config.data.train_sampling_strategy,proportional
config.data.val_ratio,0.2
config.model.eos_id,126
config.model.global_dim,128
config.model.global_heads,8
config.model.global_layers,4
config.model.implementation,megabyte_in_action
config.model.initializer_range,0.02
config.model.local_dim,128
config.model.local_heads,2
config.model.local_layers,2
config.model.pad_id,125
config.model.patch_size,4
config.model.seq_length,1024
config.model.vocab_size,127
config.output.output_dir,outputs/dna_megabyte_quick_20260322_164030
config.output.run_name,dna_megabyte_quick
config.train.batch_size,16
config.train.device,auto
config.train.dtype,bfloat16
config.train.epochs,1
config.train.eval_batch_size,32
config.train.eval_interval,500
config.train.grad_clip_norm,1.0
config.train.learning_rate,0.0003
config.train.log_interval,25
config.train.lr_min_ratio,0.2
config.train.lr_scheduler,cosine
config.train.lr_warmup_steps,0
config.train.num_workers,0
config.train.seed,42
config.train.weight_decay,0.01
dataset.alphabet_size,4
dataset.species_count,9
dataset.total_size_bytes,374586508
dataset.total_test_bytes,74917307
dataset.total_train_bytes,224751903
dataset.total_val_bytes,74917298
device,cuda
model_parameters,11194751
test.bases,74917299
test.bits_per_base,1.7874620233644272
test.bits_per_token,5.362386070093282
test.elapsed_seconds,24.907273054122925
test.loss_nats_per_base,1.2389742618530277
test.loss_nats_per_token,3.7169227855590834
test.tokens,24972433
validation.bases,74917284
validation.bits_per_base,1.7886479624691192
validation.bits_per_token,5.365943887407357
validation.elapsed_seconds,24.732152462005615
validation.loss_nats_per_base,1.2397962921997607
validation.loss_nats_per_token,3.719388876599282
validation.tokens,24972428
