split,mode,species,source_name,sample_bytes,sample_bases,sample_symbols_with_eos,theoretical_bits,theoretical_bits_per_base,arithmetic_coded_bytes,arithmetic_bits_per_base,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes
test,legacy,OrSa,OrSa,100000,99999,33334,187667.9774875641,1.8766985418610596,23466,1.87729877298773,32768,127,0.01,0.003875732421875,100000,25000,29064,27383,27280
test,legacy,HoSa,HoSa,100000,99999,33334,172238.32143974304,1.7224004384018143,21537,1.7229772297722976,32768,127,0.01,0.003875732421875,100000,25000,28409,26828,26684
test,legacy,DaRe,DaRe,100000,99999,33334,156576.33442735672,1.5657790020635878,19571,1.5656956569565696,32768,127,0.01,0.003875732421875,100000,25000,28364,26792,26380
test,legacy,ScPo,ScPo,100000,99999,33334,193418.63568878174,1.9342056989448069,24185,1.934819348193482,32768,127,0.01,0.003875732421875,100000,25000,25995,26652,24348
test,legacy,EsCo,EsCo,100000,99999,33334,188581.64695739746,1.885835327927254,23581,1.8864988649886498,32768,127,0.01,0.003875732421875,100000,25000,28961,27126,27268
test,legacy,YeMi,YeMi,14739,14739,4914,26849.80393218994,1.8216842344928381,3355,1.8210190650654725,32768,127,0.01,0.003875732421875,14739,3685,4285,3974,4104
test,legacy,BuEb,BuEb,3788,3786,1263,7481.312927246094,1.976046731972027,934,1.9735868991019545,32768,127,0.01,0.003875732421875,3788,947,1244,1114,1300
test,legacy,AgPh,AgPh,8794,8793,2932,17130.952224731445,1.9482488598580059,2140,1.9470032980780165,32768,127,0.01,0.003875732421875,8794,2199,2758,2486,2684
test,legacy,GaGa,GaGa,100000,99999,33334,181983.9224472046,1.8198574230462763,22756,1.8204982049820497,32768,127,0.01,0.003875732421875,100000,25000,28422,26895,26800
test,legacy,DrMe,DrMe,100000,99999,33334,187245.51370239258,1.8724738617625434,23414,1.8731387313873138,32768,127,0.01,0.003875732421875,100000,25000,28667,27152,26728
test,legacy,EnIn,EnIn,100000,99999,33334,186600.04066467285,1.8660190668373968,23332,1.8665786657866579,32768,127,0.01,0.003875732421875,100000,25000,28651,27161,26864
test,legacy,PlFa,PlFa,100000,99999,33334,179022.7984161377,1.790245886620243,22386,1.7908979089790897,32768,127,0.01,0.003875732421875,100000,25000,27534,26576,25948
test,legacy,HePy,HePy,100000,99999,33334,179741.65245056152,1.7974344988506037,22476,1.7980979809798099,32768,127,0.01,0.003875732421875,100000,25000,28072,26762,26408
test,legacy,AeCa,AeCa,100000,99999,33334,187053.63046264648,1.8705550101765667,23390,1.8712187121871218,32768,127,0.01,0.003875732421875,100000,25000,28952,27179,27368
test,legacy,HaHi,HaHi,100000,99999,33334,192794.18969726562,1.927961176584422,24108,1.928659286592866,32768,127,0.01,0.003875732421875,100000,25000,29089,27064,27476
test,legacy,AnCa,AnCa,100000,99999,33334,161843.8454167843,1.61845463871423,20237,1.6189761897618977,32768,127,0.01,0.003875732421875,100000,25000,27659,26863,25828
test,legacy,WaMe,WaMe,100000,99999,33334,193315.04527282715,1.9331697844261158,24173,1.933859338593386,32768,127,0.01,0.003875732421875,100000,25000,29187,27236,27612
