split,mode,species,sample_bytes,sample_bases,sample_symbols_with_eos,theoretical_bits,theoretical_bits_per_base,arithmetic_coded_bytes,arithmetic_bits_per_base,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes
test,legacy,OrSa,100000,99999,33334,190712.55337524414,1.9071446051984935,23849,1.907939079390794,32768,127,0.01,0.003875732421875,100000,25000,29064,27383,27280
test,legacy,HoSa,100000,99999,33334,180234.7162208557,1.8023651858604157,22540,1.8032180321803217,32768,127,0.01,0.003875732421875,100000,25000,28409,26828,26684
test,legacy,DaRe,100000,99999,33334,184576.3221654892,1.8457816794716866,23082,1.8465784657846578,32768,127,0.01,0.003875732421875,100000,25000,28364,26792,26380
test,legacy,ScPo,100000,99999,33334,193139.5629119873,1.9314149432693057,24153,1.9322593225932259,32768,127,0.01,0.003875732421875,100000,25000,25995,26652,24348
test,legacy,EsCo,100000,99999,33334,190592.57579040527,1.9059448173522262,23835,1.9068190681906818,32768,127,0.01,0.003875732421875,100000,25000,28961,27126,27268
test,legacy,YeMi,14739,14739,4914,27070.819580078125,1.8366795291456763,3385,1.8373023950064455,32768,127,0.01,0.003875732421875,14739,3685,4285,3974,4104
test,legacy,BuEb,3788,3786,1263,7450.993896484375,1.9680385357856247,931,1.9672477548864236,32768,127,0.01,0.003875732421875,3788,947,1244,1114,1300
test,legacy,AgPh,8794,8793,2932,17032.615676879883,1.9370653561787652,2129,1.9369953372000455,32768,127,0.01,0.003875732421875,8794,2199,2758,2486,2684
test,legacy,GaGa,100000,99999,33334,184840.66061401367,1.8484250903910406,23115,1.849218492184922,32768,127,0.01,0.003875732421875,100000,25000,28422,26895,26800
test,legacy,DrMe,100000,99999,33334,189349.64905548096,1.8935154257090667,23679,1.894338943389434,32768,127,0.01,0.003875732421875,100000,25000,28667,27152,26728
test,legacy,EnIn,100000,99999,33334,188582.58778381348,1.8858447362854975,23584,1.8867388673886738,32768,127,0.01,0.003875732421875,100000,25000,28651,27161,26864
test,legacy,PlFa,100000,99999,33334,181521.7954864502,1.8152361072255743,22701,1.8160981609816098,32768,127,0.01,0.003875732421875,100000,25000,27534,26576,25948
test,legacy,HePy,100000,99999,33334,185748.66249084473,1.8575051999604468,23229,1.858338583385834,32768,127,0.01,0.003875732421875,100000,25000,28072,26762,26408
test,legacy,AeCa,100000,99999,33334,189820.32037353516,1.898222185957211,23738,1.8990589905899058,32768,127,0.01,0.003875732421875,100000,25000,28952,27179,27368
test,legacy,HaHi,100000,99999,33334,192598.2183227539,1.9260014432419714,24085,1.926819268192682,32768,127,0.01,0.003875732421875,100000,25000,29089,27064,27476
test,legacy,AnCa,100000,99999,33334,181155.35111427307,1.8115716268589992,22655,1.8124181241812418,32768,127,0.01,0.003875732421875,100000,25000,27659,26863,25828
test,legacy,WaMe,100000,99999,33334,193997.625289917,1.9399956528556985,24260,1.940819408194082,32768,127,0.01,0.003875732421875,100000,25000,29187,27236,27612
